X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,PS,PK,K,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_9,GR_10,GR_11,GR_12,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,YEAR_CLOSED,MAR_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8574992.76571831,4713579.10157081,11,Sharpe Health School,4300 13TH STREET NW,Special Education School,SE,Closed,202-576-6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89, ,PubSchPt_Closed_6,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,312,312,N,250,1958,,,,,255254,,,,{EF872D07-1F5B-4A77-A3CD-C3C11AC729F5},,,,
-8569240.16574768,4712650.11944743,12,Taft Junior High School,1800 Perry Street NE,Special Education,SE,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_9,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=473,429,,,,,,,,,294529,,,,{C2BA66E5-F65D-43A6-B2BB-86DCF7A8CA37},,,JLAY,2025/02/13 21:30:28+00
-8573959.423859,4712282.37157155,13,Park View Elementary School,3560 WARDER STREET NW,Elementary School,ES,Closed,202-576-6222,0,16,29,29,23,25,16,24,0,0,0,0,0,0,0,0,162, ,PubSchPt_Closed_23,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,293,293,,0,0,0,0,0,2008,294583,398163.1595,140725.73,,{1C9D3622-F94F-433F-B48D-C87155C2BBE2},,,,
-8570138.82087896,4711594.30283309,14,Slowe Elementary School,1404 JACKSON STREET NE,Elementary School,ES,Closed,202-576-6075,0,9,10,11,12,13,12,12,4,0,0,0,0,0,0,0,83, ,PubSchPt_Closed_37,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,342,342,,0,0,0,0,0,2008,294522,401138.9405,140191.85,,{178A956E-8C19-43F6-8106-86A709AB9AC7},,,,
-8566884.84869034,4711265.230773,15,Marshall Elementary School,3100 FORT LINCOLN DRIVE NE,Elementary School,ES,Closed,202-576-6900,25,37,38,17,16,7,12,9,,,,,,,,,161, ,PubSchPt_Closed_42,http://www.thurgoodmarshalldc.org,351,351,N,350,1980,103800,450,,2013,294553,,,,{3B331FC8-9881-432E-A95F-EBF9AC45120A},,,,
-8571897.7868297,4710744.87482983,16,Shaed Elementary School,"301 Douglas Street, N.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_7,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=311,311,,,,,,,,2008,294477,,,,{5CF787C7-A87D-4A43-94A0-D6B67231AAEC},,,,
-8574561.31111249,4710624.18026458,17,Meyer Elementary School,2501 11TH STREET NW,Elementary School,ES,Closed,202-673-7259,10,13,23,25,22,19,23,18,0,0,0,0,0,0,0,16,169, ,PubSchPt_Closed_41,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,278,278,,0,0,0,0,0,2008,242979,397694.0005,139439.5,,{22EA39F5-C060-4960-AFF8-AF2E4B988191},,,,
-8573335.51358201,4710281.38775852,18,CHOICE Academy @ Wash Met,300 BRYANT STREET NW,Youth Engagement,YE,Closed,202-939-4350,,,,,,,,,,1,2,1,,1,,,5,,PubSchPt_Closed_57,http://profiles.dcps.dc.gov/CHOICE+Academy+%40+Wash+Met,947,,,,,,,,2020,,,,,{B3845ACE-C383-4E31-9F90-2525DD27B787},,,JLAY,2025/02/13 21:30:28+00
-8573335.92178389,4710281.33742076,19,Washington Metropolitan High School,300 BRYANT STREET NW,Youth Engagement,YE,Closed,202-671-1788,,,,,,,,,,,,86,59,66,42,,253, ,PubSchPt_Closed_58,http://washingtonmetropolitanhs.org/,474, ,N,,,,,,,294475,,,,{3B4FB489-A628-4D41-8E8F-A6334CFAF31C},,,JLAY,2025/02/13 21:30:28+00
-8574935.45560038,4710040.86451932,20,Harrison,2120 13th Street NW,,,Closed,,,,,,,,,,,,,,,,,,,,PubSchPt_Closed_30,,,,,,,48900,,,1995,310205,397402.4,138987.03,,{0FF36689-70F8-46A9-932D-A1833C0BC44D},,,JLAY,2025/02/13 21:30:28+00
-8573369.58355751,4709910.07723443,21,Gage-Eckington Elementary School,2025 3RD STREET NW,Elementary School,ES,Closed,202-673-7305,0,18,22,25,24,19,28,29,18,0,0,0,0,0,0,0,183, ,PubSchPt_Closed_40,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,281,281,,0,0,0,0,0,2008,294536,398622.2405,138885.25,,{48685B81-A82B-4247-A237-AE330D431B0E},,,,
-8574467.38696786,4709868.55624844,22,Garnet-Patterson Middle School,2001 10TH STREET NW,Middle School,MS,Closed,202-673-7329,0,0,0,0,0,0,0,0,25,79,100,0,0,0,0,2,206, ,PubSchPt_Closed_39,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,410,410,,0,0,0,0,0,2008,294533,397767.0005,138853.23,,{DC75CCA2-16D5-461B-8633-D006FB294A52},,,,
-8572462.39707085,4709301.60831037,23,Emery Elementary School,"1720 1st Street, N.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_15,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=235,235,,,,,,,,2008,294527,,,,{B04E6702-8E70-4610-80E4-778863025F74},,,,
-8578427.23810316,4709168.27952559,24,Jackson,"1680 Avon Place, NW",Leased,Other,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_11, ,255,,,,,,,,1971,273059,,,,{92D3DE4E-D549-49FA-A2AE-46AB5550C495},,,JLAY,2025/02/13 21:30:28+00
-8574379.68624689,4709098.03542034,25,Shaw Junior High School,925 RHODE ISLAND AVENUE NW,Junior High School,JHS,Closed,202-673-7203,0,0,0,0,0,0,0,0,0,118,168,123,0,0,0,0,409,,PubSchPt_Closed_4,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,432,432,,,,,,,2008,294503,397835.16,138255.36,,{5873B9F3-60CA-41DF-AE6D-4A665641A65A},,,,
-8573660.62820523,4708790.71159268,26,Montgomery Elementary School,"421 P Street, N.W.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_16,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=282,282,,,,,,,,2011,294487,,,,{D6F6693B-1B93-4808-B8C9-BF162BE8E897},,,,
-8573617.85739931,4708772.84552932,27,Scott Montgomery Elementary School,421 P STREET NW,Elementary School,ES,Closed,202-673-7245,0,11,24,28,22,28,26,34,29,0,0,0,0,0,0,0,202,,PubSchPt_Closed_3,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,282,282,,,,,,,2010,294487,398428.65,138002.89,,{52D20FD5-3632-4805-9509-965D00E15132},,,,
-8572710.10647692,4708766.06528453,28,Langston Elementary School,43 P STREET NW,Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,,,PubSchPt_Closed_31,,,,,,,22300,,,1997,301249,399135.9,137997.52,,{FA25A5B7-A2AC-438C-A86C-E05DDC2DDF26},,,,
-8572781.62508296,4708765.86645963,29,Slater Elementary School,45 P Street NW,Middle School,ES,Closed,,,,,,,,,,,,,,,,,,,,PubSchPt_Closed_32,,,,,,1891,18300,,,1975,279790,399080.18,137997.37,,{47D05C74-9907-43E5-93AB-69176A67F0FE},,,,
-8572748.81083209,4708703.9831481,30,J.F. Cook Elementary School,30 P STREET NW,Elementary School,ES,Closed,202-673-7221,14,21,26,32,27,20,14,17,13,0,0,0,0,0,0,0,184, ,PubSchPt_Closed_51,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,226,226,,0,0,0,0,0,2008,294465,399105.7405,137949.35,,{16EAF353-ACD7-4777-AF61-E8E7DDC5E0E7},,,,
-8570937.27093078,4708700.81119433,31,Hamilton Center,"1401 Brentwood PKWY, N.E.",Special Education,SE,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_12,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=9903,412,,,,,,,,2013,294521,,,,{8D0A768C-3C52-4D71-9D20-4A47887EF55A},,,,
-8572744.75816531,4708606.05425679,32,Washington Center @ M.M. Washington Career Senior High School,27 O STREET NW,Special Education Center,SE,Closed,202-671-2692,0,0,0,0,0,0,0,0,0,0,0,45,33,9,11,0,98, ,PubSchPt_Closed_21,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,479,479A,,0,0,0,0,0,2008,294464,399108.8895,137873.36,,{3B071839-2D88-4202-B87B-32A740EEF93C},,,,
-8564975.85764837,4708535.75263414,33,Kenilworth Elementary School,1300 44TH STREET NE,Elementary School,ES,Closed,202-724-4643,16,20,23,18,23,20,28,30,,,,,,,,,178, ,PubSchPt_Closed_45,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,256,256,N,425,1933,57100,325,299,2013,294516,,,,{0D7B6F36-AA8D-4C6F-96C0-1256EC6CADA6},,,,
-8569501.1138777,4708513.56570365,34,Webb/Wheatley Elementary School,1375 MOUNT OLIVET ROAD NE,Elementary School,ES,Closed,202-724-4543,51,9,41,40,43,44,33,32,41,30,0,0,0,0,0,0,364, ,PubSchPt_Closed_35,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,335,335,N,625,1960,103700,400,327,2009,286108,401636.1505,137801.71,,{6E34E73B-72A8-4B90-B78B-66F4B0409C3B},,,,
-8577425.39385915,4708427.09236322,35,Francis-Stevens Education Campus,2425 N STREET NW,Education Campus,EC,Closed,202-724-4841,27,19,15,16,11,13,19,19,22,32,40,,,,,,233, ,PubSchPt_Closed_48,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,409,409,N,520,1927,95100,450,165,2013,294544,,,,{A1A5034D-0547-4B09-96A0-D2E5C706C300},,,,
-8576814.3620807,4707810.98855059,36,Stevens Elementary School,1050 21ST STREET NW,Elementary School,ES,Closed,202-724-4852,0,21,37,39,35,28,37,22,12,0,0,0,0,0,0,0,231, ,PubSchPt_Closed_54,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,320,320,,0,0,0,0,0,2008,294506,395937.7905,137257.38,,{C3614D2C-EF73-4866-BDED-B7F8E638CEAD},,,,
-8568396.84315828,4707520.02327948,37,Young Elementary School,820 26TH STREET NE,Elementary School,ES,Closed,202-724-4569,0,26,24,33,32,32,41,22,32,0,0,0,0,0,0,0,242, ,PubSchPt_Closed_24,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,341,341,,0,0,0,0,0,2008,294499,402496.7805,137030.93,,{293AC586-8457-404F-B073-B532AE3845E2},,,,
-8563823.28182434,4707391.55929013,38,Merritt Middle School,5002 HAYES STREET NE,Middle School,EC,Closed,202-724-4618,0,0,0,0,0,0,0,0,23,75,72,0,0,0,0,0,170, ,PubSchPt_Closed_25,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,277,277,,0,0,0,0,0,2008,294606,406060.6705,136933.16,,{7A8675A5-702A-421A-B09C-C3EEA4404EBA},,,,
-8568371.37251722,4707229.08561709,39,Spingarn High School,2500 BENNING ROAD NE,High School,SHS,Closed,202-724-4525,,,,,,,,,,,,143,125,104,78,,450, ,PubSchPt_Closed_50,http://www.spingarn.k12.dc.us,460,569,N,905,1952,225000,0,626,2013,294545,,,,{43336FD3-FA0A-4E86-A1DF-44B3DBCD4701},,,,
-8568371.37251722,4707229.08561709,40,Spingarn STAY High School,2500 BENNING ROAD NE,Youth Engagement,STAY,Closed,202-724-4538,,,,,,,,,,,,,,,,162,162, ,PubSchPt_Closed_43,http://www.sshs.org,460,460B,N,905,1952,225000,,,2013,294545,,,,{57DA035E-BF42-4E4C-9757-4E30D5B3A3F5},,,,
-8570842.18405785,4707010.30467894,41,Prospect Learning Center,920 F STREET NE,Special Education School,SE,Closed,202-548-4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100, ,PubSchPt_Closed_49,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,242,242,N,,1959,,,,2013,289072,,,,{BFE3E527-7D93-4A99-B976-1109B922EAC2},,,,
-8569102.71686686,4706888.46776489,42,Gibbs Elementary School,500 19TH STREET NE,Elementary School,ES,Closed,202-724-4573,14,17,39,26,41,33,28,41,42,0,0,0,0,0,0,0,281, ,PubSchPt_Closed_36,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,240,240,,0,0,0,0,0,2008,290080,401946.8695,136540.64,,{62FB2A7A-126A-4DCA-B52D-AF5F1EFA9534},,,,
-8562791.74426329,4705986.00198224,43,Evans Middle School,"5600 East Capitol Street, N.E",Middle School,MS,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_14,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=408,408,,,,,,,,,289793,,,,{501984A0-383A-4DD3-B19F-740D3FD05245},,,,
-8562856.77330357,4705851.86418115,44,Transition Academy at Shadd,"5601 East Capitol Street, S.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_8,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=310,310,,,,,,,,2013,294610,,,,{3AC0A941-48A2-44EC-B16D-194006E693F8},,,,
-8571095.05117536,4705218.83236694,45,Hine Middle School,335 8TH STREET SE,Middle School,MS,Closed,202-698-3330,0,0,0,0,0,0,0,0,0,151,117,0,0,0,0,0,268, ,PubSchPt_Closed_22,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,414,414,,0,0,0,0,0,2008,294480,400394.3695,135244.5,,{225D1A51-0DA3-46D6-BE30-EF18EF2D350C},,,,
-8564245.63196955,4705030.9036155,46,Fletcher-Johnson Educational Center,"4650 Benning Road, S.E.",Educational Center,EC,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_13,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=348,348,,,,,,,,2006,288259,,,,{0A4359CE-ADBD-4809-A4DA-F4CDE1954F8C},,,,
-8564656.52216232,4704364.98144007,47,Davis Elementary School,4430 H STREET SE,Elementary School,ES,Closed,202-729-4340,16,23,23,27,23,25,24,23,,,,,,,,,184, ,PubSchPt_Closed_44,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,229,229,N,507,1943,71100,325,269,2013,294598,,,,{FF79F534-7BE9-4941-81AC-149E82DFBC16},,,,
-8571383.79989209,4702213.72962431,48,Jackie Robinson Center,821 HOWARD ROAD SE,DCPS/DHS SE,SE,Closed,202-698-2323,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,18,24,,PubSchPt_Closed_1,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,909,909,,,,,,,2010,278626,400169.37,132911.51,,{A326AE1F-808F-4DCC-85CB-B497AF865822},,,,
-8571083.9164764,4701604.62116831,49,Birney Elementary School,2501 MARTIN LUTHER KING JR AVENUE SE,Elementary School,ES,Closed,202-698-1133,15,23,37,28,25,39,21,33,0,0,0,0,0,0,0,0,221, ,PubSchPt_Closed_34,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,208,208,N,560,1950,86800,400,280,2009,278172,400403.1905,132438.56,,{1C9405F4-3EC1-4DA4-B130-B3A2983F7A87},,,,
-8569992.52420118,4701187.56697028,50,Wilkinson Elementary School,2330 POMEROY ROAD SE,Elementary School,ES,Closed,202-698-1111,17,34,80,83,85,66,0,0,0,0,0,0,0,0,0,0,365, ,PubSchPt_Closed_20,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,354,354,,0,0,0,0,0,2008,294542,401254.1705,132114.8,,{8AAD02DE-46B9-4D9A-B705-F055465E6A36},,,,
-8570270.74916684,4701155.34854886,51,Douglass Transitional Academy,2600 DOUGLASS PLACE SE,Special Education School,SE,Closed,202-698-1570,0,0,0,0,0,0,0,0,0,0,0,7,29,14,10,0,60,5872    0950,PubSchPt_Closed_19,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,406,946,,0,0,0,0,0,2008,155368,401037.2405,132089.75,,{A5C1A7B3-3923-4768-9B8C-0B256F623103},,,,
-8569409.52182127,4699871.30326402,52,Turner Elementary School/Frederick Douglas Center,3264 STANTON ROAD SE,Elementary School,ES,Closed,202-698-1155,0,39,58,69,59,55,65,33,51,0,0,0,0,0,0,0,429,,PubSchPt_Closed_27,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,329,329,,,,,,,2008,294561,401708.96,131092.7,,{B5730EC1-56AE-482A-8381-725427389203},,,,
-8569752.98058895,4699015.01547366,53,Green Elementary School,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Closed,202-645-3470,14,20,29,32,40,24,32,20,27,0,0,0,0,0,0,0,238, ,PubSchPt_Closed_38,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,244,244,,0,0,0,0,0,2008,294523,401441.2505,130427.6,,{012CFD2C-B019-4207-A48A-27617C433CBB},,,,
-8570944.32171153,4698996.98326065,54,M.C. Terrell/McGogney Elementary School,3301 WHEELER ROAD SE,Elementary School,ES,Closed,202-645-3740,16,34,33,21,27,21,26,33,37,0,0,0,0,0,0,0,211, ,PubSchPt_Closed_47,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,353,353,N,504,1976,112000,400,252,2013,294563,,,,{A31235DB-316A-4E0A-BA1A-258490CBF672},,,,
-8570825.98123332,4698818.30946404,55,McGogney Elementary School,3400 WHEELER ROAD SE,Elementary School,ES,Closed,202-645-3320,18,20,27,32,36,24,29,24,28,0,0,0,0,0,0,14,252,,PubSchPt_Closed_2,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,275,275,,,,,,,2010,294566,400604.46,130274.71,,{D43EF6F9-68EB-40C5-A44D-F16770B8FC34},,,,
-8570740.4120445,4697969.28181942,56,Draper Elementary School,908 WAHLER PLACE SE,Elementary School,ES,Closed,202-645-3309,0,12,11,7,13,13,6,9,13,0,0,0,0,0,0,0,84, ,PubSchPt_Closed_26,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,230,230,N,352,1953,54000,325,128,2009,294502,400671.2505,129615.24,,{DAD0443D-FB45-4454-B0E9-E855458991E5},,,,
-8571062.64102193,4697685.7119751,57,Ferebee-Hope Elementary School,3999 8TH STREET SE,Elementary School,ES,Closed,202-645-3100,16,33,30,34,27,30,32,37,0,0,0,0,0,0,0,0,239, ,PubSchPt_Closed_46,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,343,343,N,521,1974,193800,325,263,2013,294588,,,,{C12E69C0-45E9-4C6A-951D-8EA3D832541C},,,,
-8571944.66896362,4696479.68200064,58,Patricia R. Harris Educational Center,4600 LIVINGSTON ROAD SE,K-8,EC,Closed,202-645-3490,30,4,32,42,51,43,50,39,38,38,87,116,0,0,0,0,532, ,PubSchPt_Closed_56,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,352,352,,0,0,0,0,0,2008,294600,399731.9505,128458.05,,{3E32F057-4AB1-4AF7-8D33-5F61637C00BF},,,,
-8574467.34460812,4709868.55626043,321,Shaw Middle School,2001 10TH STREET NW,Middle School,MS,Closed,202-673-7329,,,,,,,,,,,,,,,,,,,dcps_971,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,0,,,,,,,,,294533,397767,138853.23,,{89089A12-9942-4AE3-8DA0-225FE31E3052},JLAY,2025/02/13 21:30:28+00,JLAY,2025/02/13 21:30:28+00
